city,location,mean,std,count,volatility
Islamabad,12th Avenue,7530000.0,14980000.0,4,1.9893758300132802
Islamabad,7th Avenue,9427447.916666666,32697606.964821648,48,3.468341300195991
Islamabad,9th Avenue,9789000.0,28178576.737001408,27,2.8785960503627956
Islamabad,AGHOSH,25005833.333333332,13024983.845159529,6,0.5208778156493963
Islamabad,Abdullah Garden,6685900.0,6189853.748945394,10,0.9258071088328264
Islamabad,Agha Shahi Avenue,17500.0,10606.601717798212,2,0.6060915267313264
Islamabad,Agro Farming Scheme,95000000.0,,1,0.0
Islamabad,Ahmed Town,8000000.0,,1,0.0
Islamabad,Airline Avenue,13500000.0,,1,0.0
Islamabad,Airport Avenue Housing Society,7181250.0,4926432.744221048,4,0.686013262902844
Islamabad,Airport Enclave,10740000.0,2690353.1366718384,5,0.2504984298577131
Islamabad,Aiza Garden,8500000.0,,1,0.0
Islamabad,Akbar Town,25000.0,,1,0.0
Islamabad,Al Huda Town,6012437.5,6713186.370534913,8,1.1165498802332519
Islamabad,Al Qaim Town,1215000.0,2390000.0,4,1.9670781893004115
Islamabad,Alhamra Avenue,12100000.0,,1,0.0
Islamabad,Ali Pur,4656055.555555556,4911066.959688056,36,1.0547698370626664
Islamabad,Alipur Farash,6682838.70967742,7701693.212520541,31,1.15245834099927
Islamabad,Arsalan Town,4843636.363636363,1874956.6228748697,22,0.38709690036831024
Islamabad,Ataturk Avenue,45000.0,,1,0.0
Islamabad,Athal,35500000.0,63022852.99794036,4,1.7752916337447988
Islamabad,Atomic Energy Employee Society,13000000.0,,1,0.0
Islamabad,Azmat Town,3741666.6666666665,4468803.904103797,3,1.1943351191368723
Islamabad,B-17,7665542.750929368,11302070.81781834,538,1.4743992937027297
Islamabad,Bahria Town,15914034.376918355,17242564.51988523,1629,1.0834816685386686
Islamabad,Bani Gala,9183743.765084473,30958238.083060205,1243,3.3709823439063955
Islamabad,Bhara kahu,12492557.324840764,33142192.93867326,314,2.652955041700856
Islamabad,Blue Area,20205333.333333332,35978869.36159141,27,1.780662004829983
Islamabad,Bokra Road,6515000.0,9171174.951989522,2,1.4077014508042245
Islamabad,Burma Town,3991577.4647887326,2057126.5858818828,71,0.5153668202680775
Islamabad,C-14,45000.0,,1,0.0
Islamabad,C-18,6333333.333333333,2476076.0046800626,15,0.3909593691600099
Islamabad,C-19,4700000.0,,1,0.0
Islamabad,CBR Town,13147800.56980057,8948086.75448714,351,0.6805767023147711
Islamabad,Capital Enclave,10151250.0,11554798.696501236,4,1.1382636322129034
Islamabad,Central Avenue,50000.0,,1,0.0
Islamabad,Chak Shahzad,51488308.641975306,78214711.6113142,81,1.5190771201124769
Islamabad,Chatha Bakhtawar,5355034.090909091,9267155.125779498,88,1.730550164285933
Islamabad,Chattar,7618625.0,10952750.034428187,16,1.4376281854571116
Islamabad,Chirah,300000000.0,,1,0.0
Islamabad,City Garden,70000000.0,0.0,2,0.0
Islamabad,Club Road,800000000.0,,1,0.0
Islamabad,D-12,13507229.865771811,20175033.26822446,596,1.4936469926634839
Islamabad,D-13,6900000.0,5432003.927342714,4,0.7872469459916976
Islamabad,D-14,4750000.0,1837570.8603116963,4,0.386857023223515
Islamabad,D-17,9105077.821011674,11227317.868367212,257,1.2330831310917598
Islamabad,D-18,13144090.909090908,13630164.741884418,11,1.0369804071012112
Islamabad,DHA Defence,10320461.803805951,16616498.31116787,3731,1.6100537579665364
Islamabad,Dhok Chaudhrian,7791714.285714285,5534365.417229746,7,0.7102885468191159
Islamabad,Diplomatic Enclave,10948818.713450292,19100364.78206944,171,1.7445137491047524
Islamabad,E-11,7596978.260869565,18486844.679847773,2760,2.4334470950206106
Islamabad,E-12,12079333.333333334,15450090.010525288,3,1.2790515489700276
Islamabad,E-14,5681800.0,4152533.51849473,10,0.730848237969434
Islamabad,E-16,12657142.857142856,7471692.611195303,7,0.5903143146542564
Islamabad,E-18,9768352.94117647,6880542.5743648335,17,0.7043707998470582
Islamabad,E-7,55219647.058823526,104050170.06741293,187,1.884296180969284
Islamabad,Emaar Canyon Views,25978911.76470588,17905703.11105011,34,0.6892399217189777
Islamabad,Embassy Road,109870000.0,96078142.6756367,5,0.8744711265644552
Islamabad,Engineering Co-operative Housing (ECHS),6917200.0,14326674.237240128,5,2.0711666913259887
Islamabad,F-10,20677440.321583178,40888109.86927905,1617,1.9774260853070826
Islamabad,F-11,14915138.749302065,30396369.965172626,1791,2.037954220613267
Islamabad,F-15,12320350.0,16588850.23020491,60,1.346459331934962
Islamabad,F-17,12813047.131147541,10554754.708939308,244,0.8237505568274626
Islamabad,F-6,38183289.53229399,114102216.08807772,898,2.9882762194067736
Islamabad,F-7,33056570.60518732,80534241.52601309,1388,2.436255184721898
Islamabad,F-8,28682885.616438355,65562749.74486823,1460,2.285779423367842
Islamabad,F-9,25125000.0,35178562.36403074,2,1.4001417856330642
Islamabad,FECHS,5067522.082018928,6605909.81043198,317,1.3035779032659194
Islamabad,Faisal Town - F-18,12721571.42857143,5133304.573112347,35,0.40351183043184724
Islamabad,Fateh Jang Road,13156250.0,17161739.78651349,8,1.3044552806851109
Islamabad,Federal Government Employees Housing Foundation,24000.0,,1,0.0
Islamabad,Frash Town,3640000.0,801872.8078691782,5,0.22029472743658743
Islamabad,G-10,10954020.733652312,17800127.400297496,627,1.6249857320073322
Islamabad,G-11,9203160.388821386,17259542.49317322,1646,1.8753929915355505
Islamabad,G-12,2426833.3333333335,3766004.1644515824,6,1.551818212122072
Islamabad,G-13,9708659.438946528,13852427.042640194,2506,1.426811510873565
Islamabad,G-14,9834100.0,18116404.71440459,160,1.8422026127865885
Islamabad,G-15,7887303.792250618,11554154.821075173,1213,1.4649055146610792
Islamabad,G-16,4658266.666666667,13459178.219350165,30,2.8893103771109776
Islamabad,G-5,8070352.94117647,17859332.213653654,17,2.2129555353808574
Islamabad,G-6,43865960.0,84663690.32643014,150,1.930054427771104
